Код;Наименование;Артикул;Базовая единица измерения;Комментарий;Основная единица измерения;Основное свойство;Полное наименование;ВыгружатьВИнтернетМагазин;НаименованиеИМ;Длинна;Ширина;Высота;Объем;Блокировать скидку по карте;Статус товара;Штрихкоды номенклатуры
00079130;            Выключатель дифференциального тока (УЗО) 2п 63А 30мА тип AC City9 Set 230В SE C9R36263;C9R36263;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель дифференциального тока (УЗО) 2п 63А 30мА тип AC City9 Set 230В SE C9R36263;1;Выключатель дифференциального тока (УЗО) 2п 63А 30мА тип AC City9 Set 230В SE C9R36263;4;9;8;0,0003;1;Новинка;4,68E+12
00079096;         Серия Easy9;;;;;;;;;;;;;;;
00079132;            Выключатель автоматический  однополюсный EASY 9 10А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический  однополюсный EASY 9 10А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический  однополюсный EASY 9 10А C 4,5кА Schneider Electric ЭЛК;0;0;0,0072;0;1;Новинка;"4680409064054                 
3606480586835"
00079133;            Выключатель автоматический  однополюсный EASY 9 32А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический  однополюсный EASY 9 32А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический  однополюсный EASY 9 32А C 4,5кА Schneider Electric ЭЛК;0;0;0,007;0;1;Новинка;3,61E+12
00079134;            Выключатель автоматический  однополюсный EASY 9 50А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический  однополюсный EASY 9 50А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический  однополюсный EASY 9 50А C 4,5кА Schneider Electric ЭЛК;0;0;0,0021;0;1;Новинка;3,61E+12
00079135;            Выключатель автоматический  однополюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический  однополюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический  однополюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК;0;0;0;0;1;Новинка;3,61E+12
00079136;            Выключатель автоматический двухполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический двухполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический двухполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК;0;0;0;0,0041;1;Новинка;3,61E+12
00079137;            Выключатель автоматический двухполюсный EASY 9 50А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический двухполюсный EASY 9 50А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический двухполюсный EASY 9 50А C 4,5кА Schneider Electric ЭЛК;0;0;0;0,0041;1;Новинка;3,61E+12
00079138;            Выключатель автоматический двухполюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический двухполюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический двухполюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК;0;0;0;0,0041;1;Новинка;3,61E+12
00079139;            Выключатель автоматический дифференциальный EASY 9 1п+N 25А C 30мА тип AC Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический дифференциальный EASY 9 1п+N 25А C 30мА тип AC Schneider Electric ЭЛК;1;Выключатель автоматический дифференциальный EASY 9 1п+N 25А C 30мА тип AC Schneider Electric ЭЛК;0;0;0;0,0041;1;Новинка;3,61E+12
00079140;            Выключатель автоматический дифференциальный EASY 9 1п+N 32А C 30мА тип AC Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический дифференциальный EASY 9 1п+N 32А C 30мА тип AC Schneider Electric ЭЛК;1;Выключатель автоматический дифференциальный EASY 9 1п+N 32А C 30мА тип AC Schneider Electric ЭЛК;0;0;0;0,0041;1;Новинка;3,61E+12
00079141;            Выключатель автоматический трехполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический трехполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический трехполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК;0;0;0;0,0041;1;Новинка;3,61E+12
00079142;            Выключатель автоматический трехполюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический трехполюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК;1;Выключатель автоматический трехполюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК;0;0;0;0,0041;1;Новинка;3,61E+12
00079143;            Выключатель дифференциальный (УЗО) EASY 9 2п 40А 30мА тип AC Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель дифференциальный (УЗО) EASY 9 2п 40А 30мА тип AC Schneider Electric ЭЛК;1;Выключатель дифференциальный (УЗО) EASY 9 2п 40А 30мА тип AC Schneider Electric ЭЛК;0;0;0;0,0028;1;Новинка;3,61E+12
00079144;            Выключатель дифференциальный (УЗО) EASY 9 2п 63А 30мА тип AC Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель дифференциальный (УЗО) EASY 9 2п 63А 30мА тип AC Schneider Electric ЭЛК;1;Выключатель дифференциальный (УЗО) EASY 9 2п 63А 30мА тип AC Schneider Electric ЭЛК;0;0;0;0,0028;1;Новинка;3,61E+12
00079145;            ДИФ. АВТ. ВЫКЛ. EASY 9 1П+Н 40А 30мА C AC 4,5кА 230В =S= Schneider Electric ЭЛК; ;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;ДИФ. АВТ. ВЫКЛ. EASY 9 1П+Н 40А 30мА C AC 4,5кА 230В =S= Schneider Electric ЭЛК;1;Автоматический выключатель дифференциального тока EASY 9 1П+Н 40А 30мА C AC 4,5кА 230В =S= Schneider Electric ЭЛК;0;0;0;0,0028;1;Новинка;3,61E+12
00078961;      ЭРА, Simple;;;;;;;;;;;;;;;
00079146;         Выключатель автоматический модульный 1п C 10А ВА47-29 Pro NO-900-10 ЭРА Б0031745; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 10А ВА47-29 Pro NO-900-10 ЭРА Б0031745;0;Выключатель автоматический модульный 1п C 10А ВА47-29 Pro NO-900-10 ЭРА Б0031745;0;0;0;0,0001;1;Новинка;5,06E+12
00080711;         Выключатель автоматический модульный 1п C 10А ВА47-29 Pro NO-900-10 ЭРА Б0031745; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 10А ВА47-29 Pro NO-900-10 ЭРА Б0031745;0; ;0;0;0;0;1;Новинка; 
00079147;         Выключатель автоматический модульный 1п C 16А ВА47-29 Pro NO-900-12 ЭРА Б0031747 RS;1297257;шт;Автоматический однополюсный выключатель - контактный коммутационный аппарат, предназначенный для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии.;шт; ;Выключатель автоматический модульный 1п C 16А ВА47-29 Pro NO-900-12 ЭРА Б0031747 RS;1;Выключатель автоматический модульный 1п C 16А ВА47-29 Pro NO-900-12 ЭРА Б0031747 RS;0;0;0;0,0001;1;Новинка;5,06E+12
00079148;         Выключатель автоматический модульный 1п C 32 ЭРА Simple; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 32 ЭРА Simple;0;Выключатель автоматический модульный 1п C 32 ЭРА Simple;0;0;0;0,0001;1;Новинка;5,06E+12
00079149;         Выключатель автоматический модульный 1п C 32А ВА47-29 Pro NO-900-15 ЭРА Б0031750 RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 32А ВА47-29 Pro NO-900-15 ЭРА Б0031750 RS;1;Выключатель автоматический модульный 1п C 32А ВА47-29 Pro NO-900-15 ЭРА Б0031750 RS;0;0;0;0,0001;1;Новинка;5,06E+12
00079150;         Выключатель автоматический модульный 1п C 40А ВА47-29 Pro NO-900-16 ЭРА Б0031751 RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 40А ВА47-29 Pro NO-900-16 ЭРА Б0031751 RS;1;Выключатель автоматический модульный 1п C 40А ВА47-29 Pro NO-900-16 ЭРА Б0031751 RS;0;0;0;0,0001;1;Новинка;5,06E+12
00079151;         Выключатель автоматический модульный 1п C 6А ВА47-29 Pro NO-900-08 ЭРА Б0031743 RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 6А ВА47-29 Pro NO-900-08 ЭРА Б0031743 RS;1;Выключатель автоматический модульный 1п C 6А ВА47-29 Pro NO-900-08 ЭРА Б0031743 RS;0;0;0;0,0001;1;Новинка;5,06E+12
00079152;         Выключатель автоматический модульный 2п C 16А 4.5кА ВА 47-29 SIMPLE-mod-12 ЭРА Б0039229 RS; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 16А 4.5кА ВА 47-29 SIMPLE-mod-12 ЭРА Б0039229 RS;1;Выключатель автоматический модульный 2п C 16А 4.5кА ВА 47-29 SIMPLE-mod-12 ЭРА Б0039229 RS;0;0;0;0,0001;1;Новинка;5,06E+12
00079153;         Выключатель автоматический модульный 2п C 20А ВА47-29 Pro NO-900-29 ЭРА Б0031761 RS; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 20А ВА47-29 Pro NO-900-29 ЭРА Б0031761 RS;1;Выключатель автоматический модульный 2п C 20А ВА47-29 Pro NO-900-29 ЭРА Б0031761 RS;0;0;0;0,0001;1;Новинка;5,06E+12
00079154;         Выключатель автоматический модульный 2п C 25  ЭРА Simple; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 25  ЭРА Simple;0;Выключатель автоматический модульный 2п C 25  ЭРА Simple;0;0;0;0,0001;1;Новинка;5,06E+12
