ТМЦ;Ед.;Код;Выписано но не выдано;Аргун 29 (торговый зал);Основной склад (ул. Гумистинская 5);"Склад ""Магазин Гагра""";"Склад ""Магазин Гудаута"" №2 СМ, ул. 4 Марта №57";"Склад ""Магазин на турбазе""";"Склад магазина ""Инструменты на рынке""";Склад на площадке в Цандрипше;Склад ответственного хранения ул. Дзидзария;Списание основной склад;ТРАНЗИТНЫЙ СКЛАД;ТЦ БЗЫБЬ;Общ. кол-во
RGB усилитель 288Вт для светодиодных лент 12-24В IP20 (100);шт;00079947; ;2; ; ; ; ; ; ; ; ; ; ;2
Контроллер 288Вт для ленты RGB 12-24В (100);шт;00079948; ;10; ; ; ; ; ; ; ; ; ; ;10
Сетевые фильтры и удлинители;;00079238;; ; ; ; ; ; ; ; ; ; ; ; 
Удлинители EKF бытовые;;00079881;; ; ; ; ; ; ; ; ; ; ; ; 
Сетевой фильтр 6*3м 10А/2,2 кВт с выкл. c/з ПВС 3х0,75 Блокбастер EKF;шт;00079867;4;1;1; ; ; ; ; ; ; ; ; ;2
Сетевой фильтр 6*5м 10А/2,2кВт с выкл. c/з ПВС 3х0,75 Блокбастер EKF;шт;00079868;24;27;10; ; ; ; ; ; ; ; ; ;37
"Удлинитель ""Эксперт"" 3 гнезда 3 метра 10А/2,2кВт без заземления ПВС 2х0,75 EKF";шт;00079869;70;13;154; ; ; ; ;4; ; ; ;30;201
"Удлинитель ""Эксперт"" 3 гнезда 3 метра 16А/3,0кВт с выключателем и заземлением ПВС 3х1 EKF PROxima";шт;00079870;70; ;120; ;16; ; ;5; ; ; ;20;161
"Удлинитель ""Эксперт"" 3 гнезда 5 метров 10А/2,2кВт без заземления ПВС 2х0,75 EKF";шт;00079871; ;42; ; ;12; ; ;4; ; ; ; ;58
"Удлинитель ""Эксперт"" 3 гнезда 5 метров 13А/3,0кВт с выключателем и заземлением ПВС 3х1 EKF PROxima";шт;00079872; ;64;20; ;7; ; ;3; ; ; ;15;109
"Удлинитель ""Эксперт"" 4 гнезда 3 метра 10А/2,2кВт без заземления ПВС 2х0,75 EKF";шт;00079877; ;40; ; ;2;6; ; ; ; ; ; ;48
"Удлинитель ""Эксперт"" 4 гнезда 3 метра 13А/3,0кВт с выключателем и заземлением ПВС 3х1 EKF";шт;00079878;40;7;40; ;5; ; ; ; ; ; ; ;52
"Удлинитель ""Эксперт"" 4 гнезда 5 метров 10А/2,2кВт без заземления ПВС 2х0,75 EKF";шт;00079879;14;37;14; ;4; ; ;2; ; ; ; ;57
"Удлинитель ""Эксперт"" 4 гнезда 5 метров 13А/3,0кВт с выключателем и заземлением ПВС 3х1 EKF PROxima";шт;00079880; ; ; ; ;11; ; ; ; ; ; ; ;11
Удлинители TDM бытовые;;00079882;; ; ; ; ; ; ; ; ; ; ; ; 
Удлинитель 3 гнезда, 3 метра, б/з, 10 А, 2300 Вт, белый, НАРОДНЫЙ У-32015;шт;00079884;21; ;21; ;5;1; ; ; ; ; ;11;38
Удлинитель 3 гнезда, 3 метра, с/з, 10 А, 2300 Вт, белый, НАРОДНЫЙ У1-32049;шт;00079885;30;12;52; ;5;5; ; ; ; ; ;31;105
Удлинитель 3 гнезда, 3 метра, с/з, выкл., 10 А, 2300 Вт, белый, НАРОДНЫЙ У1-32055;шт;00079886;5;7;5; ; ; ; ; ; ; ; ; ;12
Удлинитель 3 гнезда, 5 метров, б/з, 10 А, 2300 Вт, белый, НАРОДНЫЙ У-32015;шт;00079887;21;21;21; ;8;1; ; ; ; ; ;22;73
Удлинитель 3 гнезда, 5 метров, с/з, 10 А, 2300 Вт, белый, НАРОДНЫЙ У1-32049;шт;00079888; ;4;56; ;5;9; ; ; ; ; ;30;104
Удлинитель 3 гнезда, 5 метров, с/з, выкл., 10 А, 2300 Вт, белый, НАРОДНЫЙ У1-32055;шт;00079889;15;13;29; ;5;6; ; ; ; ; ;20;73
Удлинитель 4 гнезда, 3 метра, б/з, 10 А, 2300 Вт, белый, НАРОДНЫЙ У-42016;шт;00079890;30;1;30; ; ;5; ; ; ; ; ;19;55
Удлинитель 4 гнезда, 5 метров, б/з, 10 А, 2300 Вт, белый, НАРОДНЫЙ У-42016;шт;00079891;18;9;18; ;7; ; ; ; ; ; ;20;54
Удлинители на катушке;;00079883;; ; ; ; ; ; ; ; ; ; ; ; 
Удлинитель на катушке силовой народный 4 гнезда ПВС 1300 Вт б/з, 50м УС-41134;шт;00079896;3;4;7; ;4; ; ; ; ; ; ; ;15
Удлинитель на катушке силовой народный 4 гнезда ПВС 3500 Вт с/з, 20м УС1-43131;шт;00079897;6;3;6; ;4; ; ; ; ; ; ; ;13
Удлинитель на катушке силовой народный 4 гнезда ПВС 3500 Вт с/з, 30м УС1-43131;шт;00079898;4;2;4; ;4; ; ; ; ; ; ; ;10
Удлинитель на катушке силовой народный 4 гнезда ПВС 3500 Вт с/з, 50м УС1-43131;шт;00079899;4;4;6; ;3; ; ; ; ; ; ; ;13
Удлинитель силовой в корпусе УК10-004 TDM (4 места/20м ПВС 2х1,0);шт;00083256; ; ;2; ; ; ; ; ; ; ; ; ;2
Удлинитель силовой УКз16-004 TDM (4 места/20м ПВС 3х1,0) УС1-43131;шт;00083254; ;14;15; ; ; ; ; ; ; ; ; ;29
Удлинитель силовой УКз16-004 TDM (4 места/30м ПВС 3х1,0) УС1-43131;шт;00083255; ;12;15; ; ; ; ; ; ; ; ; ;27
Силовые автоматические выключатели;;00079237;; ; ; ; ; ; ; ; ; ; ; ; 
ВА-99М 250/125А 3P 35кА EKF;шт;00079633; ;6; ; ; ; ; ; ; ; ; ; ;6
ВА-99М 250/160А 3P 35кА EKF;шт;00079634; ;7; ; ; ; ; ; ; ; ; ; ;7
ВА-99М 250/250А 3P 35кА EKF;шт;00079635; ;4; ; ; ; ; ; ; ; ; ; ;4
Системы монтажа;;00079236;; ; ; ; ; ; ; ; ; ; ; ; 
Арматура СИП;;00079396;; ; ; ; ; ; ; ; ; ; ; ; 
Зажим анкерный клиновой PA25x100 2-4x16-35 мм2 EKF;шт;00080685; ;55;60; ; ; ; ;100; ; ; ;30;245
Зажим винтовой ЗВИ-3 1,0-2,5мм2 12пар  IEK ЭЛК;шт;00079419; ;7; ; ; ; ; ; ; ; ; ; ;7
Зажим прокалывающий ответвительный P1X-95 16-95 мм2 / 1,5-10 мм2 EKF;шт;00079421; ;125;54; ;22; ; ; ; ; ; ; ;201
Крепление фасадное SF60 EKF;шт;00079423; ;30; ; ; ; ; ; ; ; ; ;17;47
Крюк с резьбой ВТ 8 (2.3кН) (SOT 16.10) ВК 20801311;шт;00079424; ;500; ; ; ; ; ; ; ; ; ; ;500
Лента бандажная стальная F2007.1 (1 м.) EKF;м;00079425; ;11; ; ; ; ; ; ; ; ; ; ;11
Ответвит. сжим (орех) У733М (16-35 мм2, 1,5-10 мм2) Stream Line;шт;00079426; ;64; ; ; ; ; ; ; ; ; ; ;64
Ответвит. сжим (орех) У859М (50-70 мм2, 4-35 мм2) StreamLine;шт;00079427; ;37; ; ; ; ; ; ; ; ; ; ;37
Сжим ответвительный У-733М 16-35/1,5-10 КВТ (10/250/250);шт;00082356; ; ;48; ; ; ; ; ; ; ; ;50;98
Скобы NCR-10-50 (50 шт/упак) Navigator ЭЛК;упак;00080673; ;2; ; ; ; ; ; ; ; ; ; ;2
Скрепа для ленты (бугель) C20 (100шт.) EKF;шт;00079428; ;100; ; ; ; ; ; ; ; ; ; ;100
Вилки, колодки удлинителя, тройники;;00079397;; ; ; ; ; ; ; ; ; ; ; ; 
Блок на 2 гнезда 2П+3 плоский 16А 250B TDM;шт;00083261; ;103;12; ; ; ; ; ; ; ; ;50;165
Блок на 3 гнезда 2П+3 круглый 16А 250B TDM;шт;00083262; ;57;40; ; ; ; ; ; ; ; ;50;147
Вилка б/з белая с красной вставкой 10А 250В TDM;шт;00083283; ;91;102; ; ; ; ; ; ; ; ; ;193
Вилка прямая каучуковая 230В 2P+PE 16A IP44 EKF Марс;шт;00079429; ;6;7; ;5; ; ;27; ; ; ; ;45
Вилка прямая с З/К белая 16А 4140 IN HOME (1/30/300);шт;00079430; ; ;2; ;6; ; ; ; ; ; ; ;8
Вилка прямая с/з белая c перфорацией 10А 250В TDM;шт;00083281; ;19; ; ; ; ; ; ; ; ; ;30;49
Вилка прямая с/з черн. 16А 250В EKF;шт;00079432; ;2;25; ; ; ; ; ; ; ; ; ;27
Вилка прямая с/з черная c перфорацией 10А 250В TDM;шт;00083282; ;31; ; ; ; ; ; ; ; ; ; ;31
Вилка угловая с З/К белая 16А 4152/4110 IN HOME (1/30/300);шт;00079433;70;9;70; ;31; ; ;24; ; ; ; ;134
Вилка угловая с/з белая 16А 250В TDM;шт;00083278; ;14;40; ; ; ; ; ; ; ; ; ;54
Вилка угловая с/з черн. 16А 250В EKF;шт;00079435; ;1; ; ; ; ; ;1; ; ; ; ;2
Кабельная розетка 2П б/з с з/ш 10А 250B черная TDM;шт;00083280; ;21; ; ; ; ; ; ; ; ; ;40;61
Колодка 2 гн. 10А б/з Эксперт EKF;шт;00079436; ;186;100; ;30; ; ;49; ; ; ; ;365
Колодка 2 гн. 16А с/з Эксперт EKF;шт;00079437; ;150; ; ; ; ; ; ; ; ; ; ;150
Колодка 3 гн. 16А с/з Эксперт EKF;шт;00079438;50;97;50; ;34; ; ;55; ; ; ; ;236
"Колодка 3-м ""КОМПАКТ"" однофазная с заглушками (каучук) UNIVersal 1323 RS";шт;00079439; ;1; ; ; ; ; ; ; ; ; ; ;1
Колодка удлинителя 3-м АВС-пл. без заземл. UNIVersal E203 RS;шт;00079440; ;1; ; ; ; ; ; ; ; ; ; ;1
Колодка удлинителя 4-м АВС-пл. без заземл. UNIVersal E204 RS;шт;00079441; ;4; ; ; ; ; ; ; ; ; ; ;4
Перекл. бра бел. 6А 250В EKF;шт;00079442; ;87;120; ; ; ; ;30; ; ; ; ;237
"Переходник 1гн ""Квадрат"" белый 220В 16А REXANT (5/25/500)";шт;00079443; ;1; ; ; ; ; ; ; ; ; ; ;1
Разветв. 2 гн. с/з плоский 16А 250B EKF;шт;00079444; ;8; ; ; ; ; ; ; ; ; ; ;8
Разветвитель 2 гнезда без заземл. плоский 6А UNIVersal А202 RS;шт;00079445; ;2; ; ; ; ; ; ; ; ; ; ;2
Разъем штепсельный 16А IP44 250В (еврослот) с заземл. каучук UNIVersal 602228 RS;шт;00079446; ;1; ; ; ; ; ; ; ; ; ; ;1
Роз. (колодка) трехмест. с защит. крышками каучуковая 230В 2P+PE 16A IP44 EKF Марс;шт;00079447; ;35;30; ; ; ; ; ; ; ; ; ;65
Роз. (колодка) четырехмест. с защит. крышками каучуковая 230В 2P+PE 16A IP44 EKF Марс;шт;00079448; ;22; ; ;29; ; ; ; ; ; ; ;51
Роз. перенос. с защитной крышкой каучуковая 230В 2P+PE 16A IP44 EKF Марс;шт;00079449; ;16; ; ; ; ; ; ; ; ; ; ;16
Тройник 3х2П 16А 250B черный TDM;шт;00083264; ;47;10; ; ; ; ;10; ; ; ; ;67
Тройник 3х2П 16А 250В белый TDM;шт;00083263; ;120;10; ; ; ; ;8; ; ; ; ;138
Дюбель хомуты;;00079400;; ; ; ; ; ; ; ; ; ; ; ; 
Дюбель Хомут 19-25мм нейлон белый (100шт)  IEK ЭЛК;упак;00079450; ;47; ; ; ; ; ; ; ; ; ; ;47
Дюбель хомут 5х8мм нейлон белый (100шт)  IEK ЭЛК;упак;00079451; ;8; ; ; ; ; ; ; ; ; ; ;8
Дюбель-хомут (5х10 мм) для плоского кабеля черный (100 шт.) EKF;упак;00079453; ; ;1; ; ; ; ; ; ; ; ; ;1
Дюбель-хомут (6х12 мм) для плоского кабеля белый (100 шт.) EKF;упак;00079454; ;64;40; ; ; ; ; ; ; ; ; ;104
Дюбель-хомут для круглого кабеля (11-18мм) белый (100шт.) EKF PROxima;упак;00079455; ;3;4; ; ; ; ;6; ; ; ; ;13
Дюбель-хомут для круглого кабеля (19-25мм) белый (100шт.) EKF PROxima;упак;00079456; ;5;30; ;20; ; ; ; ; ; ; ;55
Площадка для прямого монтажа черная (100 шт) EKF;упак;00079457; ;1; ; ; ; ; ; ; ; ; ; ;1
Изолента, термоусадочные трубки;;00079402;; ; ; ; ; ; ; ; ; ; ; ; 
Изолента ПВХ 0.18х19мм бел. (рул.20м) IEK;шт;00085063; ;66;100; ; ; ; ; ; ; ; ; ;166
Изолента ПВХ 15мм*10м черная (10/250шт) Safeline /9356/012454;шт;00079459; ;66; ; ; ; ; ;48; ; ; ; ;114
Изолента ПВХ 19мм*20м белая (10/200шт) Safeline /9369/012713;шт;00079460; ; ; ; ;2; ; ;5; ; ; ; ;7
Изолента ПВХ 19мм*20м желто-зеленая (10/200шт) Safeline /12123/016346;шт;00079461; ; ; ; ;40; ; ;29; ; ; ; ;69
Изолента ПВХ 19мм*20м синяя (10/200шт) Safeline /9369/012713;шт;00079464; ; ; ; ;28; ; ;70; ; ; ; ;98
Изолента ПВХ синяя 19мм 20м серии SafeFlex;шт;00079469; ; ;6; ; ; ; ; ; ; ; ; ;6
Изолента ХБ 1-ПОЛ 15мм/20м (200г) EKF ЭЛК;шт;00079494; ;13; ; ; ; ; ; ; ; ; ; ;13
Набор ТУТк клеевые 12/4 нг черн. 10шт 100мм EKF;упак;00079475; ;41; ; ; ; ; ; ; ; ; ; ;41
Набор ТУТк клеевые 6/2 нг черн. 20шт 100мм EKF;упак;00079476; ;27; ; ; ; ; ; ; ; ; ; ;27
Набор ТУТк клеевые 9/3 нг черн. 20шт 100мм EKF;упак;00079477; ;47; ; ; ; ; ; ; ; ; ; ;47
ТУТ нг 10/5 черная рулон EKF;м;00079478; ;95; ; ; ; ; ; ; ; ; ; ;95
ТУТ нг 30/15 черная рулон EKF;м;00079482; ;22; ; ; ; ; ; ; ; ; ; ;22
ТУТ нг 40/20 черная рулон EKF;м;00079483; ;48; ; ; ; ; ; ; ; ; ; ;48
Клеммы и клеммники;;00079404;; ; ; ; ; ; ; ; ; ; ; ; 
Гребенчатые шины (PIN);;00086031;; ; ; ; ; ; ; ; ; ; ; ; 
Шина соед. типа PIN для 1-п нагр. 63А 54 мод. EKF;шт;00079548; ;14; ; ; ; ; ; ; ; ; ; ;14
Шина соед. типа PIN для 2-п нагр. 63А 54 мод. EKF;шт;00079549; ;22; ; ; ; ; ; ; ; ; ; ;22
Шина соед. типа PIN для 3-п нагр. 63А 12 мод. EKF;шт;00079550; ;56; ; ; ; ; ; ; ; ; ; ;56
Шина соед. типа PIN для 3-п нагр. 63А 54 мод. EKF;шт;00079551; ;49; ; ; ; ; ; ; ; ; ; ;49
клеммы типа WAGO;;00086005;; ; ; ; ; ; ; ; ; ; ; ; 
Клемма СМК 221-412 блистер (5шт.) EKF;упак;00079522; ;19;1; ; ; ; ; ; ; ; ; ;20
Клемма СМК 221-413 блистер (5шт.) EKF;упак;00079523; ;24; ; ; ; ; ; ; ; ; ; ;24
Клемма СМК 221-415 блистер (5шт.) EKF;упак;00079524; ;87;50; ; ; ; ; ; ; ; ; ;137
Клемма СМК 222-412 с рычагом 2 отверстия 0,08-2,5(4,0) мм2 EKF;шт;00082235; ;22;100; ; ; ; ; ; ; ; ; ;122
Клемма СМК 222-413 блистер (5шт) EKF;упак;00079526; ;51;52; ; ; ; ; ; ; ; ; ;103
Клемма СМК 222-415 блистер (5шт) EKF;упак;00079527; ;6; ; ; ; ; ; ; ; ; ; ;6
Клемма СМК 222-415 с рычагом 5 отверстий 0,08-2,5(4,0) мм2 EKF;шт;00082236; ;86; ; ; ; ; ; ; ; ; ; ;86
Клеммник 3х(0.08-2.5(4.0)) WAGO 222-413 RS;шт;00079528; ;11; ; ; ; ; ; ; ; ; ; ;11
Клеммник 5х(0.08-2.5(4.0)) WAGO 222-415 RS;шт;00079529; ;107; ; ; ; ; ; ; ; ; ; ;107
Колодка клеммная 10мм 10А (10шт.) EKF;упак;00079531; ;5;40; ; ; ; ; ; ; ; ; ;45
Колодка клеммная 12мм 15А (10шт.) EKF;упак;00079532; ; ;40; ; ; ; ; ; ; ; ; ;40
Строительно-монтажная клемма СМК 222-422 проходная 2 полюса 0,08-4мм2 (25шт.) EKF;шт;00079533; ;44; ; ; ; ; ; ; ; ; ; ;44
Строительно-монтажная клемма СМК 222-423 проходная 3 полюса 0,08-4мм2 (25шт.) EKF;шт;00079534; ;12;25; ; ; ; ; ; ; ; ; ;37
Нулевые шины N;;00086023;; ; ; ; ; ; ; ; ; ; ; ; 
Блок КБР на DIN-рейку и монтажную панель 125A EKF;шт;00079520; ;8; ; ; ; ; ; ; ; ; ; ;8
Блок проходной РБП 35 (1х35-4х6 мм2) 125/50А EKF;шт;00079521; ;5; ; ; ; ; ; ; ; ; ; ;5
"Шина ""0"" N (6x9мм) 10 отв. латунь синий изолятор тип ""Стойка"" на DIN-рейку EKF";шт;00079535; ;1; ; ;18; ; ; ; ; ; ; ;19
"Шина ""0"" N (6x9мм) 12 отв. латунь синий изолятор тип ""Стойка"" на DIN-рейку EKF";шт;00079537; ;87; ; ; ; ; ; ; ; ; ; ;87
"Шина ""0"" N (6x9мм) 12 отв. латунь синий нейл. корп. комбинир. EKF";шт;00079538; ;62; ; ;4; ; ; ; ; ; ; ;66
"Шина ""0"" N (6x9мм) 6 отв. латунь синий нейл. корп. комбинир. EKF";шт;00079539; ;80; ; ; ; ; ; ; ; ; ; ;80
"Шина ""0"" N (6x9мм) 8 отв. латунь синий изолятор тип ""Стойка"" на DIN-рейку EKF";шт;00079540; ; ;100; ;2; ; ; ; ; ; ; ;102
"Шина ""0"" N (6x9мм) 8 отв. латунь синий нейл. корп. комбинир. EKF";шт;00079541; ;12; ; ; ; ; ; ; ; ; ; ;12
"Шина ""0"" PE (6x9мм) 8 отв. латунь желтый изолятор тип ""Стойка"" на DIN-рейку EKF";шт;00079542; ;16; ; ; ; ; ; ; ; ; ; ;16
"Шина ""N"" нулевая с изолятором на DIN-рейку 6x9мм стойка мал. 10 групп инд. стикер TDM";шт;00083266; ;37;50; ; ; ; ; ; ; ; ; ;87
"Шина ""N"" нулевая с изолятором на DIN-рейку 6x9мм стойка мал. 12 групп инд. стикер TDM";шт;00083267; ;43;50; ; ; ; ; ; ; ; ; ;93
"Шина ""N"" нулевая с изолятором на DIN-рейку 6x9мм стойка мал. 8 групп инд. стикер TDM";шт;00083265; ;40;50; ; ; ; ; ; ; ; ; ;90
Шина PEN земля-ноль 6х9мм 8/2 (8групп/креп по краям)  IEK ЭЛК;шт;00079543; ;9; ; ; ; ; ; ; ; ; ; ;9
Шина нулевая в корпусе (2х7) EKF;шт;00079544; ;15;5; ; ; ; ; ; ; ; ; ;20
Шина нулевая в корпусе (4х11) EKF;шт;00079545; ;14; ; ; ; ; ; ; ; ; ; ;14
Коннекторы RJ45;;00079406;; ; ; ; ; ; ; ; ; ; ; ; 
Коннектор RJ-45 TERACOM PRO неэкран. 8P8C 30мкд Cat.5E универс. (упак.10шт);упак;00079552; ;54; ; ; ; ; ; ; ; ; ; ;54
Коннектор RJ-45 TERACOM PRO неэкран. 8P8C 30мкд Cat.5E универс. (упак.50шт);упак;00079553; ;2;25; ; ; ; ; ; ; ; ; ;27
Розетка настенная TERACOM Cat.5E неэкран. 2 порта RJ-45 Dual IDC белая;шт;00079554; ;45;15; ;20; ; ; ; ; ; ; ;80
Коробка распаечная;;00079408;; ; ; ; ; ; ; ; ; ; ; ; 
Коробка КМ41206-01 распаячная для о/п 50х50х22 мм белая (4 клеммы 3мм2) IEK ЭЛК;шт;00079555; ;172; ; ; ; ; ; ; ; ; ; ;172
Коробка КМ41212-01 распаячная для о/п 75х75х20 мм белая (6 клемм 6мм2) IEK ЭЛК;шт;00079556; ;20; ; ; ; ; ; ; ; ; ; ;20
Коробка разветвительная о/у сер IP55 80х40 Systeme Electric  (1/96);шт;00079557; ;23;16; ; ; ; ; ; ; ; ; ;39
Коробка разветвительная о/у серый IP55 100х100х50 Systeme Electric(1/45);шт;00079558; ;147;115; ;45; ; ;26; ; ; ; ;333
Коробка распределительная KMT-192 для твердых стен (96х30) EKF;шт;00079559; ; ; ; ; ; ; ;32; ; ; ; ;32
Коробка распределительная KMT-195 для твердых стен (75х30) EKF;шт;00079560; ; ;50; ; ; ; ;50; ; ; ; ;100
Коробка распределительная для полых стен с крышкой с/у 80х45 Systeme Electric  (1/120);шт;00079561; ;6;20; ; ; ; ; ; ; ; ; ;26
Коробка распределительная для полых стен с/у 68х45 с соединителем IMT35180 Systeme Electric  (1/210);шт;00080955;40;367;962; ; ; ; ; ; ; ; ; ;1 329
Коробка распределительная для прямого монтажа КМР-030-031 с крышкой наружная (85х85х40) 8 мембр. вво;шт;00079562; ;39;11; ;16; ; ;39; ; ; ; ;105
Коробка распределительная КМП-020-008 для полых стен (115х115х45) с мет. лапками IP20 EKF;шт;00079563; ; ; ; ; ; ; ;57; ; ; ; ;57
Коробка распределительная КМР-030-014 с крышкой (100х100х50), 10 мембр. вводов IP55 EKF;шт;00079564; ;231;215; ;15; ; ; ; ; ; ; ;461
Коробка распределительная КМР-030-031 с крышкой (80х80х50), 7 мембр. вводов чёрная IP54 розн. стикер;шт;00079565; ;28;6; ; ; ; ;6; ; ; ; ;40
Коробка распределительная ОП для прямого монтажа двухкомпонентная безгалогенная (HF) 80х80х40 Промру;шт;00079567; ;2;1; ;15; ; ; ; ; ; ; ;18
Наконечники, гильзы;;00079410;; ; ; ; ; ; ; ; ; ; ; ; 
Гильза алюминиевая ГА 10-4,5 EKF;шт;00079568; ;38; ; ; ; ; ; ; ; ; ; ;38
Гильза алюминиевая ГА 16-5,4 EKF;шт;00079569; ;90; ; ; ; ; ; ; ; ; ; ;90
Гильза алюминиевая ГА 25-7 EKF;шт;00079570; ;52; ; ; ; ; ; ; ; ; ; ;52
Гильза алюминиевая ГА 35-8 EKF;шт;00079571; ;4; ; ; ; ; ; ; ; ; ; ;4
Гильза медная луженая GTY-10-5 (ГМЛ) EKF;шт;00079572; ;8; ; ; ; ; ; ; ; ; ; ;8
Набор НШВИ №5 (0,5-6мм2, 2x0,5-2,5мм2) EKF PROxima;упак;00079573; ;48; ; ; ; ; ; ; ; ; ; ;48
Наконечник алюминиевый ТА 25-8-7 EKF;шт;00079574; ;1; ; ;30; ; ; ; ; ; ; ;31
Наконечник алюминиевый ТА-10-8-4,5 EKF;шт;00079575; ;74; ; ;30; ; ; ; ; ; ; ;104
Наконечник алюминиевый ТА-16-8-5,4 EKF;шт;00079576; ; ; ; ;30; ; ; ; ; ; ; ;30
Наконечник луженый медный ТМЛ 10-5-5 опрес. Tokov Electric TKE-TML-10-5-5;шт;00079577; ;10; ; ; ; ; ; ; ; ; ; ;10
Наконечник луженый медный ТМЛ 2.5-6-2.6 опрес. Tokov Electric TKE-TML-2.5-6-2.6;шт;00079578; ;23; ; ; ; ; ; ; ; ; ; ;23
Наконечник луженый медный ТМЛ 25-10-8 опрес. Tokov Electric TKE-TML-25-10-8;шт;00080662; ;1; ; ; ; ; ; ; ; ; ; ;1
Наконечник луженый медный ТМЛ 4-5-3 опрес. Tokov Electric TKE-TML-4-5-3;шт;00080661; ;9; ; ; ; ; ; ; ; ; ; ;9
Наконечник штыревой втулочный НШвИ 1,5-8 (50шт.) EKF;упак;00079580; ;13; ; ; ; ; ; ; ; ; ; ;13
Наконечник штыревой втулочный НШвИ 10,0-12 (50шт.) EKF;упак;00079581; ;50; ; ; ; ; ; ; ; ; ; ;50
Наконечник штыревой втулочный НШвИ 6,0-12 (50шт.) EKF;упак;00079582; ;40; ; ; ; ; ; ; ; ; ; ;40
Наконечник штыревой втулочный НШвИ(2) 10,0-14 (50шт.) EKF;упак;00079583; ;42; ; ; ; ; ; ; ; ; ; ;42
Шайба алюмомедная ШАМ 24/11 EKF;шт;00079584; ;45; ; ; ; ; ; ; ; ; ; ;45
Шайба алюмомедная ШАМ 28/13 EKF;шт;00079585; ;46; ; ; ; ; ; ; ; ; ; ;46
Патроны электрические ( для ламп );;00079412;; ; ; ; ; ; ; ; ; ; ; ; 
Патрон GU5.3 для галогенных ламп EKF;шт;00079586; ;33;10; ; ; ; ; ; ; ; ; ;43
Патрон GU5.3 керамический Народный;шт;00083243; ; ; ; ; ; ; ; ; ; ; ;200;200
Патрон Е14 подвесной, термостойкий пластик, белый, TDM;шт;00083246; ;91; ; ; ; ; ; ; ; ; ; ;91
Патрон Е14 с кольцом, термостойкий пластик, белый, Б/Н TDM;шт;00083244; ;30;100; ; ; ; ; ; ; ; ; ;130
Патрон Е27 настенный, термостойкий пластик, наклонный, белый, Б/Н TDM;шт;00083238; ;123;50; ; ; ; ; ; ; ; ; ;173
Патрон Е27 настенный, термостойкий пластик, наклонный, черный, Б/Н TDM;шт;00083250; ;132;50; ; ; ; ; ; ; ; ; ;182
Патрон Е27 подвесной, термостойкий пластик, белый, TDM;шт;00083245; ;47;50; ; ; ; ; ; ; ; ; ;97
Патрон карболитовый наст. Е27 черн. наклонный EKF;шт;00079589; ;33; ; ; ; ; ;16; ; ; ; ;49
Патрон карболитовый подвесной Е27 черн. без наклейки EKF;шт;00079590; ;1;4; ; ; ; ;3; ; ; ; ;8
Патрон карболитовый подвесной, Е27, черный, TDM;шт;00083240; ;150; ; ; ; ; ;47; ; ; ; ;197
Патрон карболитовый потолочный Е27 черн. прямой EKF;шт;00079591; ;10; ; ; ; ; ;10; ; ; ; ;20
Патрон карболитовый потолочный, Е27, черный, прямой, Б/Н TDM;шт;00083242; ;8;50; ; ; ; ; ; ; ; ; ;58
Патрон керамический E27 EKF;шт;00079592; ;18;29; ; ; ; ; ; ; ; ; ;47
Патрон керамический E27, Народный;шт;00083247; ;68;150; ; ; ; ;50; ; ; ; ;268
Патрон подвесной с клеммной колодкой, Е27, белый, TDM;шт;00083249; ;3; ; ; ; ; ;40; ; ; ; ;43
Патрон-переходник E14/E27 пластиковый белый ЭРА;шт;00083138; ; ;200; ; ; ; ; ; ; ; ; ;200
Патрон-переходник вилка/Е27 с выкл белый ЭРА (1/20/200);шт;00079593; ;185; ; ; ; ; ; ; ; ; ; ;185
Патрон-переходник Е14/Е27 белый (инд.упак) ПР14-27-К02 IEK (1/50/200);шт;00079594; ;8;100; ; ; ; ; ; ; ; ; ;108
Переходник E14-E27 бел. EKF;шт;00079595; ;104; ; ; ; ; ; ; ; ; ; ;104
Переходник вилка-Е27 гибкий 150мм с выключателем, белый, TDM;шт;00083252; ;80; ; ; ; ; ; ; ; ; ; ;80
Переходник вилка-Е27 гибкий 300мм, белый, TDM;шт;00083251; ;71;20; ; ; ; ; ; ; ; ; ;91
Переходник вилка-Е27 с выкл. бел. EKF;шт;00079596; ;1; ; ; ; ; ;2; ; ; ; ;3
Подрозетники;;00079415;; ; ; ; ; ; ; ; ; ; ; ; 
Коробка подрозетник с/у  в бетон 68х60 Systeme Electric  (120);шт;00079597; ;202;180; ;48; ; ;169; ; ; ; ;599
Коробка подрозетник с/у в бетон 68х45 Systeme Electric  (200/3600);шт;00079598; ;215;37; ;91; ; ;202; ; ; ; ;545
Коробка распределительная для полых стен с/у 68х45 с соединителем IMT35181 С3М3 Systeme Electric (1/;шт;00079599; ;62; ; ;48; ; ; ; ; ; ; ;110
Соединитель подрозетник для распределительных коробок для полых стен  Systeme Electric  (100/900);шт;00080674; ;45; ; ; ; ; ; ; ; ; ; ;45
Сальники ( для электрощитов );;00079416;; ; ; ; ; ; ; ; ; ; ; ; 
Сальник PG13,5 IP54 (2 шт) d отв. 21 мм / d провод. 6-12 мм EKF;упак;00079600; ;15; ; ; ; ; ; ; ; ; ; ;15
Сальник PG16 IP54 (2 шт) d отв. 21 мм / d провод. 10-14 мм EKF;упак;00079601; ;19; ; ; ; ; ; ; ; ; ; ;19
