ТМЦ;Ед.;Код;Выписано но не выдано;Аргун 29 (торговый зал);Основной склад (ул. Гумистинская 5);"Склад ""Магазин Гагра""";"Склад ""Магазин Гудаута"" №2 СМ, ул. 4 Марта №57";"Склад ""Магазин на турбазе""";"Склад магазина ""Инструменты на рынке""";Склад на площадке в Цандрипше;Склад ответственного хранения ул. Дзидзария;Списание основной склад;ТРАНЗИТНЫЙ СКЛАД;ТЦ БЗЫБЬ;Общ. кол-во
KARINA Розетка б/з керамика белая LEZ;шт;00080490; ;104; ; ; ; ; ; ; ; ; ; ;104
KARINA Розетка двойная б/з керамика белая LEZ;шт;00080491; ;2; ; ; ; ; ; ; ; ; ; ;2
KARINA Розетка компьютерная белая LEZ;шт;00080493; ;5; ; ; ; ; ; ; ; ; ; ;5
KARINA Розетка с защитой от детей керамика белая LEZ;шт;00080494; ;1; ; ; ; ; ; ; ; ; ; ;1
KARINA Розетка ТВ оконечная белая LEZ;шт;00080496; ;13; ; ; ; ; ; ; ; ; ; ;13
KARINA Розетка телефонная евро белая LEZ;шт;00080497; ;22; ; ; ; ; ; ; ; ; ; ;22
Цвет жемчужно-белый;;00080501;; ; ; ; ; ; ; ; ; ; ; ; 
KARINA Выключатель двойной жемчужно-белый перламутр LEZ;шт;00080505; ;6; ; ; ; ; ; ; ; ; ; ;6
KARINA Выключатель двойной с подсветкой жемчужно-белый перламутр  LEZ;шт;00080506; ;17; ; ; ; ; ; ; ; ; ; ;17
KARINA Выключатель жемчужно-белый перламутр LEZ;шт;00080507; ;4; ; ; ; ; ; ; ; ; ; ;4
KARINA Выключатель проходной двойной жемчужно-белый перламутр LEZ;ящ;00080508; ;11; ; ; ; ; ; ; ; ; ; ;11
KARINA Выключатель с подсветкой жемчужно-белый перламутр LEZ;шт;00080510; ;5; ; ; ; ; ; ; ; ; ; ;5
KARINA Выключатель тройной жемчужно-белый перламутр LEZ;шт;00080511; ;26; ; ; ; ; ; ; ; ; ; ;26
KARINA Диммер 800 Вт жемчужно-белый перламутр LEZ;шт;00080512; ;3; ; ; ; ; ; ; ; ; ; ;3
KARINA Рамка 1-ая горизонтальная б/вст жемчужно-белый перламутр LEZ;шт;00080513; ;3; ; ; ; ; ; ; ; ; ; ;3
KARINA Рамка 2-ая горизонтальная б/вст жемчужно-белый перламутр LEZ;шт;00080514; ;1; ; ; ; ; ; ; ; ; ; ;1
KARINA Рамка 3-ая горизонтальная б/вст жемчужно-белый перламутр  LEZ;шт;00080515; ;5; ; ; ; ; ; ; ; ; ; ;5
KARINA Рамка 4-ая горизонтальная б/вст жемчужно-белый перламутр LEZ;шт;00080516; ;5; ; ; ; ; ; ; ; ; ; ;5
KARINA Розетка компьютерная жемчужно-белый перламутр LEZ;шт;00080518; ;2; ; ; ; ; ; ; ; ; ; ;2
KARINA Розетка ТВ оконечная жемчужно-белый перламутр LEZ;шт;00080521; ;12; ; ; ; ; ; ; ; ; ; ;12
KARINA Розетка телефонная евро жемчужно-белый перламутр LEZ;шт;00080522; ;15; ; ; ; ; ; ; ; ; ; ;15
Цвет крем;;00080502;; ; ; ; ; ; ; ; ; ; ; ; 
KARINA Выключатель крем LEZ;шт;00080524; ;2; ; ; ; ; ; ; ; ; ; ;2
KARINA Рамка 1-ая горизонтальная б/вст крем LEZ;шт;00080525; ;57; ; ; ; ; ; ; ; ; ; ;57
KARINA Розетка двойная б/з керамика крем LEZ;шт;00080526; ;1; ; ; ; ; ; ; ; ; ; ;1
KARINA Розетка с/з керамика крем LEZ;шт;00080527; ;8; ; ; ; ; ; ; ; ; ; ;8
Серия Viola;;00080499;; ; ; ; ; ; ; ; ; ; ; ; 
Цвет белый;;00080503;; ; ; ; ; ; ; ; ; ; ; ; 
VIOLA Выключатель двойной белый LEZ;шт;00080529; ;1; ; ; ; ; ; ; ; ; ; ;1
System Electric ( Schnieder Electric );;00080229;; ; ; ; ; ; ; ; ; ; ; ; 
Серия AtlasDesign;;00080237;; ; ; ; ; ; ; ; ; ; ; ; 
Цвет алюминий;;00080241;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм алюм. SE ATN000311;шт;00080247; ;63; ; ;17; ; ;53; ; ;30;20;183
Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм алюм. SE ATN000351;шт;00080248; ;32; ; ;28; ; ;23; ; ; ; ;83
Переключатель 1кл промеж с/у алюминий механизм AtlasDesign;шт;00081027; ;20; ; ; ; ; ; ; ; ; ; ;20
Переключатель проходной 1-кл. СП AtlasDesign 10А IP20 (сх. 6) 10AX механизм алюм. SE ATN000361;шт;00080249; ;37; ; ; ; ; ;40; ; ; ; ;77
Переключатель проходной 2-кл. СП AtlasDesign 10А IP20 (сх. 6/2) 10AX механизм алюм. SE ATN000365;шт;00080250; ;18; ; ; ; ; ;35; ; ; ; ;53
Рамка 1-м AtlasDesign алюм. SE ATN000301;шт;00080251; ;26;36; ;39; ; ;83; ; ; ; ;184
Рамка 2-м AtlasDesign универс. алюм. SE ATN000302;шт;00080252; ;46; ; ;44; ; ;112; ; ; ;15;217
Рамка 3-м AtlasDesign универс. алюм. SE ATN000303;шт;00080253; ;74; ; ;28; ; ;47; ; ; ; ;149
Рамка 4-м AtlasDesign универс. алюм. SE ATN000304;шт;00080254; ;12; ; ;20; ; ;26; ; ; ; ;58
Рамка 5-м AtlasDesign универс. алюм. SE ATN000305;шт;00080255; ;3; ; ; ; ; ;7; ; ; ; ;10
Розетка 1-м СП AtlasDesign 16А IP20 без заземл. без защ. шторок механизм алюм. SE ATN000341;шт;00080256; ;55; ; ; ; ; ; ; ; ;20;50;125
Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм алюм. SE ATN000343;шт;00080257; ;12;120; ;47; ; ;65; ; ;50; ;294
Розетка 2-м AtlasDesign 16А без З/К с/у в сборе алюминий ATN000320;шт;00080976; ;8;6; ; ; ; ; ; ; ; ;24;38
Розетка 2-м СП AtlasDesign 16А IP20 с заземл. в сборе алюм. SE ATN000324;шт;00080258; ; ; ; ; ; ; ;42; ; ; ; ;42
Розетка компьютерная 1-м AtlasDesign RJ45 кат.5E механизм алюм. SE ATN000383;шт;00080259; ;32; ; ;5; ; ;21; ; ; ;30;88
Розетка телевизионная оконечная TV AtlasDesign 1дБ механизм алюм. SE ATN000391;шт;00080260; ;18; ; ;5; ; ;30; ; ; ; ;53
Цвет бежевый;;00080242;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм беж. SE ATN000211;шт;00080261; ;94;59; ;37; ; ;92; ; ; ; ;282
Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм беж. SE ATN000251;шт;00080262; ;14; ; ;19; ; ;34; ; ;50; ;117
Переключатель 1кл перекрестный с/у бежевый механизм AtlasDesign Systeme Electric (1/5);шт;00080961; ;30; ; ; ; ; ; ; ; ; ;10;40
Переключатель проходной 1-кл. СП AtlasDesign 10А IP20 (сх. 6) 10AX механизм беж. SE ATN000261;шт;00080263; ;71; ; ;24; ; ;19; ; ;40; ;154
Переключатель проходной 2-кл. СП AtlasDesign 10А IP20 (сх. 6/2) 10AX механизм беж. SE ATN000265;шт;00080264; ;3; ; ; ; ; ;16; ; ; ; ;19
Рамка 1-м AtlasDesign беж. SE ATN000201;шт;00080265; ;110;120; ;88; ; ;39; ; ;200; ;557
Рамка 2-м AtlasDesign универс. беж. SE ATN000202;шт;00080266; ;139;40; ;20; ; ;74; ; ;30; ;303
Рамка 3-м AtlasDesign универс. беж. SE ATN000203;шт;00080267; ;84;95; ;40; ; ;50; ; ;50; ;319
Рамка 4-м AtlasDesign универс. беж. SE ATN000204;шт;00075959; ;23; ; ;19; ; ;50; ; ; ; ;92
Рамка 5-м AtlasDesign универс. беж. SE ATN000205;шт;00080269; ;19;5; ;5; ; ;10; ; ; ; ;39
Розетка 1-м без З/К с/у AtlasDesign 16А механизм беж. ATN000241;шт;00080959; ;48; ; ; ; ; ; ; ; ; ; ;48
Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм беж. SE ATN000243;шт;00080270; ;45;110; ;30; ; ;103; ; ;200; ;488
Розетка 2-м AtlasDesign 16А без З/К с/у в сборе беж. ATN000220;шт;00080977; ;28; ; ; ; ; ; ; ; ; ; ;28
Розетка компьютерная 1-м AtlasDesign RJ45 кат.5E механизм беж. SE ATN000283;шт;00080271; ;42; ; ; ; ; ; ; ; ; ; ;42
Розетка телевизионная TV AtlasDesign коннектор механизм беж. SE ATN000293;шт;00080272; ;15; ; ;5; ; ;17; ; ; ; ;37
Цвет белый;;00080243;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм бел. SE ATN000111;шт;00080273; ;120;50; ;28; ; ;144; ; ; ; ;342
Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм бел. SE ATN000151;шт;00080274; ;5; ; ;36; ; ;39; ; ; ; ;80
Выключатель 3-кл. СП AtlasDesign 10А IP20 (сх. 1+1+1) 10AX механизм бел. SE ATN000131;шт;00080275; ; ; ; ; ; ; ;10; ; ; ; ;10
